Date,Time,MMSI,Lon,Lat,COG,SOG,VesselName,VesselType,DimA,DimB,DimC,DimD
2023-12-09,09:23:45,229177000.0,129.6575646159024,35.26405635788113,31.0,7.047279999999999,102-CHUNG_RYONG,Unknown,192.0,37.0,19.0,13.0
2023-12-09,09:23:41,229389000.0,129.74060938699014,35.050067131562955,242.9,4.989679999999999,A-ONE,Tanker,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,229620000.0,128.83034833333335,35.077505,35.7,0.0,-,-,149.935,149.935,24.095,24.095
2023-12-09,09:23:37,229639000.0,128.85297431619847,34.73247653092059,176.0,5.86416,-,-,183.0,183.0,24.0,24.0
2023-12-09,09:23:42,231865000.0,129.02977204271826,35.06099741584703,299.5,0.15431999999999998,BUYANG ACE,Tanker,99.0,23.0,15.0,4.0
2023-12-09,09:23:39,235110737.0,129.0531328083026,34.84804171940233,273.2,5.45264,-,-,167.4,167.4,,
2023-12-09,09:23:40,255803680.0,128.83556687449263,34.94869305310446,310.0,4.1152,MUGUNGHWA16,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,256311000.0,129.08498333333333,35.10348333333334,325.0,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:39,258767000.0,129.2988895917591,34.876903235140375,209.0,4.9382399999999995,SUNNY COSMOS,Cargo,84.995,84.995,12.815,12.815
2023-12-09,09:23:42,273215510.0,129.06088333333332,35.09988333333333,349.3,0.0,KORSAKOV,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273290500.0,128.99353333333335,35.0801,0.0,0.0,306 HEE YEONG,Fishing,47.0,57.0,9.0,7.0
2023-12-09,09:23:42,273290530.0,129.06996666666666,35.0956,318.0,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273295560.0,129.05966666666666,35.103,281.8,0.0,-,-,39.0,123.0,8.0,16.0
2023-12-09,09:23:41,273295580.0,128.999085,35.057555,173.20000000000002,0.0,HIT,Fishing,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273299320.0,129.06606666666667,35.09781666666667,225.4,0.0,BIRYONG,Passenger,80.0,31.0,9.0,9.0
2023-12-09,09:23:42,273311610.0,129.01124166666668,35.06337166666667,360.0,0.0,KWANGYANG AMBITION,Cargo,92.0,11.0,11.0,5.0
2023-12-09,09:23:42,273313640.0,128.99282833333334,35.081028333333336,213.9,0.0,HARBIZ,Fishing,30.0,25.0,6.0,3.0
2023-12-09,09:23:42,273314220.0,128.99297833333333,35.082858333333334,360.0,0.0,YEONG  GWANG  HO,Unknown,20.0,34.0,9.0,1.0
2023-12-09,09:23:42,273319630.0,129.069635,35.095136339811624,0.0,0.05144,HAE BONG,TugTow,20.0,29.0,5.0,5.0
2023-12-09,09:23:41,273338020.0,129.00117666666668,35.052276666666664,226.7,0.0,CHUNG NAM 701HO,Unknown,18.0,41.0,3.0,7.0
2023-12-09,09:23:42,273358330.0,129.03165,35.09361666666667,198.5,0.0,DAEHO SEOUL,Cargo,11.0,21.0,3.0,2.0
2023-12-09,09:23:42,273358420.0,129.06611,35.097375,5.9,0.0,ORYONG 325,Fishing,10.0,30.0,5.0,7.0
2023-12-09,09:23:41,273359520.0,129.0478252361848,35.05568652488146,200.0,0.10288,SEVEN STAR,Unknown,101.0,12.0,6.0,13.0
2023-12-09,09:23:42,273359630.0,129.06512833333332,35.098013333333334,0.0,0.0,BRATTEGG,Fishing,16.0,40.0,10.0,3.0
2023-12-09,09:23:42,273372120.0,128.99294333333333,35.08239833333333,74.5,0.0,HYUNJUNG,Unknown,24.0,25.0,6.0,2.0
2023-12-09,09:23:42,273378130.0,129.00455,35.07685,219.3,0.0,-,-,93.0,27.0,6.0,10.0
2023-12-09,09:23:42,273394660.0,129.06492833333334,35.098083333333335,155.0,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273398640.0,129.00984833333334,35.065795,77.4,0.0,VYBORG,Cargo,99.0,31.0,10.0,9.0
2023-12-09,09:23:42,273398960.0,129.06608333333332,35.097433333333335,163.70000000000002,0.0,WISE CASTLE,TugTow,31.0,15.0,2.0,7.0
2023-12-09,09:23:42,273411580.0,129.00838333333334,35.06708,360.0,0.0,-,-,8.0,69.0,10.0,6.0
2023-12-09,09:23:42,273415040.0,129.02947124822944,35.0658744828359,248.1,0.15431999999999998,NEW YAKJIN HO,TugTow,75.0,15.0,4.0,11.0
2023-12-09,09:23:42,273415570.0,129.06011666666666,35.10013166666667,155.3,0.0,BEST NO.3,Fishing,53.0,18.0,6.0,6.0
2023-12-09,09:23:42,273426890.0,129.06529,35.09789833333333,298.5,0.0,MYENG JIN,Tanker,92.0,33.0,12.0,6.0
2023-12-09,09:23:42,273428770.0,129.06480666666667,35.098215,360.0,0.0,ORIENTAL PEARL VIII,Passenger,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273437330.0,129.034585,35.08718833333333,59.7,0.0,ASIA GAS,Tanker,10.0,19.0,3.0,5.0
2023-12-09,09:23:42,273440610.0,129.00778166666666,35.067881666666665,0.0,0.0,HAN GANG15,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273443750.0,129.033935,35.0936,360.0,0.0,NO.105 DONG JIN,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273445250.0,128.99286666666666,35.08176666666667,360.0,0.0,HEUNG A ULSAN,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273512400.0,129.00540333333333,35.071475,360.0,0.0,-,-,99.0,54.0,14.0,8.0
2023-12-09,09:23:42,273611160.0,128.99294833989967,35.083580880936964,306.1,0.05144,YU BONG 1HO,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273612530.0,129.04062333333334,35.05981,0.1,0.0,PILOT ORUKDO,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273613250.0,128.999005,35.05773833333333,145.6,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,273615540.0,129.00928390538832,35.05931865243693,109.2,0.05144,LAN CASTLE,Unknown,105.0,14.0,6.0,9.0
2023-12-09,09:23:41,273816020.0,129.0001,35.052566666666664,230.0,0.0,NEW WEOLMI,TugTow,108.0,45.0,15.0,7.0
2023-12-09,09:23:41,273825000.0,129.001865,35.05014,354.1,0.0,JUN STAR,Unknown,84.0,29.0,8.0,8.0
2023-12-09,09:23:42,273848100.0,128.993875,35.07998333333333,0.0,0.0,SC GUOJI            ,Tanker,27.0,93.0,10.0,9.0
2023-12-09,09:23:41,273873500.0,129.28006431169158,35.040131971402445,50.7,5.04112,-,-,23.0,23.0,8.0,1.0
2023-12-09,09:23:42,273893000.0,129.00449163975546,35.0791229211798,270.7,0.05144,DONG BO NO1,TugTow,28.0,36.0,9.0,4.0
2023-12-09,09:23:42,273894710.0,129.06017333333332,35.10030166666667,203.9,0.0,HARBIZ,Fishing,8.0,69.0,10.0,6.0
2023-12-09,09:23:42,305678000.0,129.06265,35.12468333333333,290.0,0.0,DONGJIN ACE,Tanker,35.0,69.0,7.0,9.0
2023-12-09,09:23:42,311000342.0,129.05543,35.118188333333336,9.1,0.0,JIN BU,Unknown,171.0,29.0,11.0,21.0
2023-12-09,09:23:42,311000780.0,129.094315,35.10142833333333,60.8,0.0,SONG DO,TugTow,118.0,24.0,14.0,9.0
2023-12-09,09:23:41,311691000.0,129.08198,35.038003333333336,152.6,0.0,TAE HWA NO11,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,311934000.0,129.04140828866667,35.053145544626865,138.5,0.10288,WEST CARFERRY,Cargo,10.0,17.0,2.0,7.0
2023-12-09,09:23:41,311935000.0,129.06053244151525,35.04990363156337,314.20000000000005,0.05144,HAENAROO NO.2,TugTow,95.0,15.0,12.0,5.0
2023-12-09,09:23:42,311957000.0,129.00929455262147,35.063124045605775,326.1,0.05144,SUNNY LINDEN,Cargo,114.0,26.0,19.0,1.0
2023-12-09,09:23:41,312320000.0,129.4557066746145,35.002698614727265,31.0,6.8929599999999995,NO.108 CHUNGRYONG,TugTow,15.0,20.0,6.0,4.0
2023-12-09,09:23:38,312900000.0,129.07979163117574,34.82459745650617,29.6,5.29832,HAN GANG15,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,319147600.0,129.0765560579518,35.02849851520324,268.40000000000003,0.05144,NEWANGEL,TugTow,84.0,17.0,9.0,9.0
2023-12-09,09:23:44,352001412.0,129.5727087960626,35.248925249529236,200.9,4.732479999999999,HAE SUNG,Unknown,181.0,18.0,18.0,10.0
2023-12-09,09:23:41,352001868.0,129.07016,35.036856666666665,147.8,0.0,BEST NO.3,Fishing,90.0,36.0,5.0,15.0
2023-12-09,09:23:42,352002152.0,129.1170503281033,35.07083625692976,138.4,4.681039999999999,YONGKWANG,TugTow,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,352002511.0,129.48383249318192,35.11151075466505,33.2,6.481439999999999,DOO LA,Tanker,63.0,21.0,4.0,10.0
2023-12-09,09:23:42,352002616.0,129.50975275916645,35.10387893312226,75.0,7.458799999999999,-,-,10.0,22.0,4.0,3.0
2023-12-09,09:23:38,352002684.0,129.14650890191848,34.792805898587034,32.5,5.967039999999999,-,-,5.0,10.0,5.0,3.0
2023-12-09,09:23:41,353059000.0,128.88688333333334,34.999473333333334,290.0,0.0,209 DAE SUNG HO,Unknown,118.0,23.0,14.0,9.0
2023-12-09,09:23:38,353706000.0,129.03232838196217,34.82142079278327,111.8,8.693359999999998,SKY GLORY,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,354586000.0,129.11867223105898,34.994992056812244,94.8,5.19544,-,-,84.0,29.0,8.0,8.0
2023-12-09,09:23:42,355188000.0,129.07545166666668,35.103588333333335,0.0,0.0,KWANG HAE 201 HO@@@@,TugTow,80.0,31.0,9.0,9.0
2023-12-09,09:23:41,355310000.0,129.06809905553894,35.05127817115225,360.0,0.10288,-,-,12.0,18.0,3.0,5.0
2023-12-09,09:23:41,355701000.0,129.33850419591937,35.00596819054435,204.1,4.989679999999999,-,-,200.0,25.0,14.0,18.0
2023-12-09,09:23:39,356269000.0,128.79812823078376,34.85917078007848,263.3,0.10288,D-01,Unknown,235.0,61.0,18.0,28.0
2023-12-09,09:23:42,356386000.0,129.00692666666666,35.068538333333336,355.70000000000005,0.0,ODAEYANG 1HO,Unknown,110.0,13.0,8.0,8.0
2023-12-09,09:23:40,356893000.0,129.07078364002226,34.93374363092906,205.4,6.06992,DONG WOO,Unknown,152.0,42.0,17.0,11.0
2023-12-09,09:23:42,357308000.0,128.99568103680699,35.083119959551105,278.0,0.05144,-,-,10.0,30.0,5.0,5.0
2023-12-09,09:23:39,370025000.0,128.77658166666666,34.862518333333334,265.90000000000003,0.0,SM TOKYO,Cargo,235.0,61.0,20.0,26.0
2023-12-09,09:23:39,370099000.0,128.84361902925804,34.87925141466622,176.10000000000002,5.5555200000000005,ANDROMEDA,Cargo,74.0,18.0,7.0,10.0
2023-12-09,09:23:37,371002000.0,128.90143216815972,34.7049283204408,41.0,0.92592,-,-,151.0,42.0,21.0,7.0
2023-12-09,09:23:41,372047000.0,129.00134846843414,35.050472266411774,174.10000000000002,0.05144,YU JIN              ,Cargo,93.0,27.0,6.0,10.0
2023-12-09,09:23:38,372377000.0,129.29214074445485,34.83599994076028,214.2,4.57816,HYE SEONG,Unknown,192.0,33.0,24.0,8.0
2023-12-09,09:23:41,372435000.0,129.05445833333334,35.054903333333336,106.9,0.0,-,-,50.24,50.24,10.205,10.205
2023-12-09,09:23:44,372570000.0,129.43436655040216,35.25344401201428,189.3,7.15016,OCEANACE2,Unknown,120.0,17.0,7.0,18.0
2023-12-09,09:23:42,373493000.0,129.06904136161947,35.110741248086704,58.400000000000006,0.05144,-,-,25.0,10.0,7.0,7.0
2023-12-09,09:23:40,373579000.0,129.2564531730061,34.90873888242375,63.8,7.304479999999999,-,-,157.0,18.0,16.0,12.0
2023-12-09,09:23:39,373958000.0,129.11627670376765,34.85203498646443,1.5,0.6172799999999999,HANYU NURI,Tanker,132.0,29.0,11.0,13.0
2023-12-09,09:23:42,375237000.0,129.33041292147004,35.118987868567096,224.7,3.96088,NO.101 WOO SUN,TugTow,63.0,18.0,7.0,7.0
2023-12-09,09:23:42,412764090.0,128.99931056561636,35.079447082223616,348.6,2.3148,S-93,Unknown,95.0,15.0,12.0,5.0
2023-12-09,09:23:42,413218940.0,129.08983666666666,35.103435,287.8,0.0,HEUNG-A SARAH,Cargo,26.0,10.0,4.0,4.0
2023-12-09,09:23:42,413458780.0,129.05206,35.10027,181.4,0.0,HI CASTLE,TugTow,12.0,142.0,25.0,14.0
2023-12-09,09:23:42,431446000.0,129.05064,35.117216666666664,316.90000000000003,0.0,-,-,39.0,123.0,8.0,16.0
2023-12-09,09:23:42,431602232.0,129.052835,35.115921666666665,315.20000000000005,0.0,EASLINE OSAKA@@@@@@@,Cargo,41.0,129.0,12.0,12.0
2023-12-09,09:23:42,440000000.0,129.05704333333333,35.101945,0.0,0.0,OCEANACE2,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440000120.0,129.03811666666667,35.09504166666667,235.7,0.0,ASIA GAS,Tanker,8.0,19.0,4.0,3.0
2023-12-09,09:23:41,440001020.0,128.93621788627473,35.00162044397502,255.0,3.4979199999999997,JE105SINKWANG HO,Unknown,8.0,19.0,3.0,3.0
2023-12-09,09:23:41,440001250.0,129.01622761616164,35.045580484037565,46.2,5.401199999999999,SEJU FRONTIER,Cargo,11.0,21.0,3.0,2.0
2023-12-09,09:23:41,440002390.0,128.98032666666666,35.05294166666667,8.3,0.0,KTS BLUE            ,Tanker,10.0,5.0,2.0,2.0
2023-12-09,09:23:42,440003210.0,129.0360503141639,35.09451408113984,79.7,0.05144,NO.11 SEYANG,Tanker,0.0,0.0,0.0,0.0
2023-12-09,09:23:43,440007070.0,129.12018333333333,35.13355,126.8,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,440007170.0,128.97321735146377,35.055684473003495,210.8,0.05144,-,-,10.0,5.0,2.0,2.0
2023-12-09,09:23:41,440009900.0,128.98505635129365,35.020886400414355,62.900000000000006,3.0864,-,-,20.0,20.0,3.0,3.0
2023-12-09,09:23:42,440010800.0,129.05489,35.12265333333333,194.1,0.0,OSTROV IONY,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440014870.0,129.091895,35.107843333333335,0.0,0.0,BONG SUNG HO,Unknown,45.0,15.0,5.0,5.0
2023-12-09,09:23:42,440014910.0,129.0688705533535,35.1048586173042,303.3,4.732479999999999,T-101 BOHAE,TugTow,5.0,10.0,5.0,3.0
2023-12-09,09:23:44,440016190.0,129.39505261755897,35.26196863181663,198.0,5.34976,NAVIOS GALAXY I,Cargo,69.0,19.0,7.0,6.0
2023-12-09,09:23:42,440016540.0,128.83770407193654,35.07488915553777,271.2,5.9155999999999995,ONE STAR,TugTow,27.0,93.0,10.0,9.0
2023-12-09,09:23:42,440020260.0,129.03939022795737,35.10267757865189,128.5,0.05144,-,-,10.0,22.0,4.0,3.0
2023-12-09,09:23:42,440030820.0,129.06848166666666,35.10970666666667,220.1,0.0,-,-,10.0,22.0,4.0,3.0
2023-12-09,09:23:42,440036020.0,129.20999950629044,35.133288319824246,38.5,6.84152,-,-,12.0,13.0,3.0,5.0
2023-12-09,09:23:43,440041090.0,129.1185075019915,35.1413385672031,284.5,4.1152,KCG BANGJE18,Unknown,7.0,20.0,4.0,3.0
2023-12-09,09:23:42,440044920.0,129.0506517710211,35.11981815130439,339.20000000000005,0.05144,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:44,440047230.0,129.3679174823257,35.22826116201689,27.3,3.75512,SUNJIN NO.801,TugTow,78.0,14.0,14.0,0.0
2023-12-09,09:23:42,440047430.0,129.0298377908254,35.05606081976225,217.1,2.2119199999999997,-,-,83.0,24.0,9.0,8.0
2023-12-09,09:23:42,440049630.0,129.050845,35.119805,357.6,0.0,625 DEOG YANG H0,TugTow,10.0,22.0,3.0,7.0
2023-12-09,09:23:42,440051540.0,129.0796,35.0823,322.20000000000005,0.0,EVER LIFTING,Unknown,15.0,31.0,7.0,4.0
2023-12-09,09:23:40,440053520.0,128.85795556981503,34.92210730829331,269.3,0.15431999999999998,ORIENTAL PEARL VIII,Passenger,26.0,10.0,4.0,4.0
2023-12-09,09:23:43,440053970.0,129.13061333333334,35.15427666666667,360.0,0.0,JEMIN3,Unknown,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440054010.0,129.02562666666665,35.09214,360.0,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440055000.0,129.00406166666667,35.08109,213.1,0.0,NAVIOS GALAXY I,Cargo,27.0,30.0,8.0,1.0
2023-12-09,09:23:43,440055170.0,129.17056666666667,35.15821666666667,37.5,0.0,CHANG WOO 1 HO,TugTow,6.0,20.0,3.0,3.0
2023-12-09,09:23:44,440057710.0,129.36905915256713,35.25309976640063,33.800000000000004,7.2530399999999995,HEUNG_A   TOKYO,Cargo,83.0,23.0,13.0,6.0
2023-12-09,09:23:42,440063450.0,129.05356,35.12153166666667,256.0,0.0,NO.89 KEUM SUNG,Fishing,112.0,33.0,18.0,4.0
2023-12-09,09:23:41,440075110.0,129.00178666666667,35.052435,312.5,0.0,NEW STAR,Passenger,42.0,122.0,13.0,13.0
2023-12-09,09:23:42,440078000.0,129.10833266782794,35.06682540992461,184.4,2.4691199999999998,-,-,10.0,22.0,3.0,7.0
2023-12-09,09:23:42,440100580.0,129.06574,35.10907,227.6,0.0,SAM JIN NO.1,Tanker,14.0,14.0,5.0,5.0
2023-12-09,09:23:39,440101241.0,128.89137431426843,34.88301515248115,231.2,2.72632,SAMPYO 102AIVDM,Fishing,4.0,60.0,8.0,10.0
2023-12-09,09:23:41,440101370.0,129.09774427941574,35.04858952665633,191.0,3.54936,BONG EUN,Tanker,45.0,8.0,4.0,5.0
2023-12-09,09:23:42,440102050.0,129.05026833333332,35.11977198011143,0.0,0.05144,SUNNY LAVENDER      ,Cargo,40.0,17.0,3.0,6.0
2023-12-09,09:23:43,440103150.0,129.24843464626082,35.183287161575656,41.6,5.967039999999999,-,-,25.0,10.0,2.0,5.0
2023-12-09,09:23:42,440103440.0,129.05044084874464,35.1197978253116,151.3,0.10288,BONG JIN HO,Unknown,40.0,20.0,6.0,4.0
2023-12-09,09:23:41,440103970.0,128.956204583478,34.997750546726046,257.0,3.75512,-,-,60.0,10.0,4.0,6.0
2023-12-09,09:23:42,440104340.0,129.05000247727926,35.104271693058266,42.900000000000006,2.2119199999999997,REM STAR,Fishing,7.0,20.0,3.0,3.0
2023-12-09,09:23:42,440104940.0,129.20276397955465,35.134798730966075,38.2,3.8579999999999997,25TAEYANG,TugTow,7.0,21.0,3.0,4.0
2023-12-09,09:23:42,440105210.0,129.08190610881505,35.09243327129103,298.2,8.17896,KYUNG HAE,Tanker,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440105860.0,129.03597666666667,35.093415,206.0,0.0,NO.89 KEUM SUNG,Fishing,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,440107310.0,129.00375,35.04911,307.40000000000003,0.0,BOW ENGINEER,Unknown,14.0,10.0,4.0,3.0
2023-12-09,09:23:42,440107360.0,129.06688,35.108505,311.0,0.0,KTS BLUE            ,Tanker,11.0,19.0,5.0,3.0
2023-12-09,09:23:39,440107590.0,128.88830887023653,34.881094123099665,228.1,2.72632,YK T1,Unknown,6.0,17.0,4.0,3.0
2023-12-09,09:23:42,440107860.0,129.03217666666666,35.09058666666667,256.40000000000003,0.0,-,-,10.0,22.0,4.0,3.0
2023-12-09,09:23:42,440108040.0,129.02731666666668,35.089945,334.0,0.0,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440108790.0,129.050965,35.12290746270477,0.0,0.05144,A HOKEN,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:40,440108910.0,128.80338141065596,34.95369791745684,176.20000000000002,4.3724,625 DEOG YANG H0,TugTow,95.0,24.0,7.0,14.0
2023-12-09,09:23:42,440109540.0,129.27082811230287,35.07781898142834,174.20000000000002,4.01232,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440109710.0,129.07874166666667,35.083216666666665,264.0,0.0,SUNNY OAK,Cargo,17.0,10.0,3.0,3.0
2023-12-09,09:23:42,440110850.0,129.05245447465467,35.116703703965705,352.40000000000003,0.66872,-,-,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440110910.0,129.06553166666666,35.109365,273.0,0.0,NO 107 CHUNG RYONG,TugTow,10.0,30.0,5.0,7.0
2023-12-09,09:23:41,440111720.0,128.97325166666667,35.05581,338.70000000000005,0.0,-,-,39.0,8.0,6.0,2.0
2023-12-09,09:23:41,440112050.0,129.00039375416466,35.053526889332154,82.30000000000001,0.05144,BO HAE 1 HO,Unknown,27.0,4.0,3.0,4.0
2023-12-09,09:23:42,440112590.0,129.06618,35.10888166666667,202.5,0.0,LYDIA OLDENDORFF,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440112730.0,128.99925981464784,35.082874694098464,140.1,0.05144,SONGWON,Tanker,12.0,16.0,3.0,5.0
2023-12-09,09:23:42,440114300.0,129.04988333333333,35.1201,74.10000000000001,0.0,KING NO.7,TugTow,31.0,15.0,2.0,7.0
2023-12-09,09:23:41,440115000.0,129.17694270222694,35.01230431482064,38.0,6.06992,SINO TRADER@@@@@@@@@,Cargo,63.0,21.0,4.0,10.0
2023-12-09,09:23:42,440116550.0,129.06929479219167,35.11083268394051,189.0,0.05144,-,-,13.0,14.0,4.0,5.0
2023-12-09,09:23:41,440117010.0,129.06044687843473,35.03451221625797,139.20000000000002,0.15431999999999998,ORYONG 325,Fishing,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440118750.0,129.06871166666667,35.110013333333335,234.5,0.0,-,-,10.0,13.0,4.0,4.0
2023-12-09,09:23:42,440118970.0,129.0664966666667,35.10870666666667,322.0,0.0,-,-,12.0,18.0,3.0,5.0
2023-12-09,09:23:42,440119550.0,129.03590833333334,35.09388,8.9,0.0,KOREA7,TugTow,10.0,30.0,5.0,7.0
2023-12-09,09:23:42,440120000.0,129.08633166666667,35.0885,360.0,0.0,JANG SUNG,Unknown,95.0,18.0,5.0,13.0
2023-12-09,09:23:39,440120860.0,128.86958723689932,34.86964669417413,219.1,5.144,NAVIOS GALAXY I,Cargo,30.0,10.0,3.0,4.0
2023-12-09,09:23:42,440120970.0,129.15507920110434,35.12591016863568,151.5,5.5555200000000005,SUNJIN NO.801,TugTow,0.0,0.0,0.0,0.0
2023-12-09,09:23:42,440121190.0,129.0262181657045,35.08688097543294,253.7,0.05144,HYUNDAI VOYAGER,Cargo,30.0,10.0,3.0,5.0
2023-12-09,09:23:43,440121350.0,129.23180587590775,35.17255444264169,212.2,3.2407199999999996,NO2 YOUNG HEUNG,TugTow,10.0,24.0,3.0,3.0
2023-12-09,09:23:42,440121510.0,129.06913666666668,35.11064833333333,161.4,0.0,NO.7SSANGYONG       ,Cargo,0.0,0.0,0.0,0.0
2023-12-09,09:23:41,440121640.0,128.97334166666667,35.0559,30.1,0.0,GLOBAL STAR,Unknown,25.0,15.0,5.0,3.0
2023-12-09,09:23:42,440123370.0,129.5648800321621,35.07734003644517,43.7,0.56584,SU WON HO,Unknown,17.0,10.0,3.0,3.0
2023-12-09,09:23:42,440123810.0,129.04557149249274,35.09948175879644,201.2,0.05144,SUSTAINABLE EARTH   ,Cargo,8.0,25.0,2.0,3.0
2023-12-09,09:23:41,440123830.0,129.17849447575102,35.00908842211759,280.5,0.82304,SUSTAINABLE EARTH   ,Cargo,10.0,5.0,2.0,2.0
